"V1" "V2" "V3"
"357" 357 "fBodyAccJerk-min()-X" "fbodyaccjerkminx"
"358" 358 "fBodyAccJerk-min()-Y" "fbodyaccjerkminy"
"359" 359 "fBodyAccJerk-min()-Z" "fbodyaccjerkminz"
"360" 360 "fBodyAccJerk-sma()" "fbodyaccjerksma"
"361" 361 "fBodyAccJerk-energy()-X" "fbodyaccjerkenergyx"
"362" 362 "fBodyAccJerk-energy()-Y" "fbodyaccjerkenergyy"
"363" 363 "fBodyAccJerk-energy()-Z" "fbodyaccjerkenergyz"
"364" 364 "fBodyAccJerk-iqr()-X" "fbodyaccjerkiqrx"
"365" 365 "fBodyAccJerk-iqr()-Y" "fbodyaccjerkiqry"
"366" 366 "fBodyAccJerk-iqr()-Z" "fbodyaccjerkiqrz"
"367" 367 "fBodyAccJerk-entropy()-X" "fbodyaccjerkentropyx"
"368" 368 "fBodyAccJerk-entropy()-Y" "fbodyaccjerkentropyy"
"369" 369 "fBodyAccJerk-entropy()-Z" "fbodyaccjerkentropyz"
"370" 370 "fBodyAccJerk-maxInds-X" "fbodyaccjerkmaxindsx"
"371" 371 "fBodyAccJerk-maxInds-Y" "fbodyaccjerkmaxindsy"
"372" 372 "fBodyAccJerk-maxInds-Z" "fbodyaccjerkmaxindsz"
"373" 373 "fBodyAccJerk-meanFreq()-X" "fbodyaccjerkmeanfreqx"
"374" 374 "fBodyAccJerk-meanFreq()-Y" "fbodyaccjerkmeanfreqy"
"375" 375 "fBodyAccJerk-meanFreq()-Z" "fbodyaccjerkmeanfreqz"
"376" 376 "fBodyAccJerk-skewness()-X" "fbodyaccjerkskewnessx"
"377" 377 "fBodyAccJerk-kurtosis()-X" "fbodyaccjerkkurtosisx"
"378" 378 "fBodyAccJerk-skewness()-Y" "fbodyaccjerkskewnessy"
"379" 379 "fBodyAccJerk-kurtosis()-Y" "fbodyaccjerkkurtosisy"
"380" 380 "fBodyAccJerk-skewness()-Z" "fbodyaccjerkskewnessz"
"381" 381 "fBodyAccJerk-kurtosis()-Z" "fbodyaccjerkkurtosisz"
"382" 382 "fBodyAccJerk-bandsEnergy()-1,8" "fbodyaccjerkbandsenergy18"
"383" 383 "fBodyAccJerk-bandsEnergy()-9,16" "fbodyaccjerkbandsenergy916"
"384" 384 "fBodyAccJerk-bandsEnergy()-17,24" "fbodyaccjerkbandsenergy1724"
"385" 385 "fBodyAccJerk-bandsEnergy()-25,32" "fbodyaccjerkbandsenergy2532"
"386" 386 "fBodyAccJerk-bandsEnergy()-33,40" "fbodyaccjerkbandsenergy3340"
"387" 387 "fBodyAccJerk-bandsEnergy()-41,48" "fbodyaccjerkbandsenergy4148"
"388" 388 "fBodyAccJerk-bandsEnergy()-49,56" "fbodyaccjerkbandsenergy4956"
"389" 389 "fBodyAccJerk-bandsEnergy()-57,64" "fbodyaccjerkbandsenergy5764"
"390" 390 "fBodyAccJerk-bandsEnergy()-1,16" "fbodyaccjerkbandsenergy116"
"391" 391 "fBodyAccJerk-bandsEnergy()-17,32" "fbodyaccjerkbandsenergy1732"
"392" 392 "fBodyAccJerk-bandsEnergy()-33,48" "fbodyaccjerkbandsenergy3348"
"393" 393 "fBodyAccJerk-bandsEnergy()-49,64" "fbodyaccjerkbandsenergy4964"
"394" 394 "fBodyAccJerk-bandsEnergy()-1,24" "fbodyaccjerkbandsenergy124"
"395" 395 "fBodyAccJerk-bandsEnergy()-25,48" "fbodyaccjerkbandsenergy2548"
"396" 396 "fBodyAccJerk-bandsEnergy()-1,8" "fbodyaccjerkbandsenergy18"
"397" 397 "fBodyAccJerk-bandsEnergy()-9,16" "fbodyaccjerkbandsenergy916"
"398" 398 "fBodyAccJerk-bandsEnergy()-17,24" "fbodyaccjerkbandsenergy1724"
"399" 399 "fBodyAccJerk-bandsEnergy()-25,32" "fbodyaccjerkbandsenergy2532"
"400" 400 "fBodyAccJerk-bandsEnergy()-33,40" "fbodyaccjerkbandsenergy3340"
"401" 401 "fBodyAccJerk-bandsEnergy()-41,48" "fbodyaccjerkbandsenergy4148"
"402" 402 "fBodyAccJerk-bandsEnergy()-49,56" "fbodyaccjerkbandsenergy4956"
"403" 403 "fBodyAccJerk-bandsEnergy()-57,64" "fbodyaccjerkbandsenergy5764"
"404" 404 "fBodyAccJerk-bandsEnergy()-1,16" "fbodyaccjerkbandsenergy116"
"405" 405 "fBodyAccJerk-bandsEnergy()-17,32" "fbodyaccjerkbandsenergy1732"
"406" 406 "fBodyAccJerk-bandsEnergy()-33,48" "fbodyaccjerkbandsenergy3348"
"407" 407 "fBodyAccJerk-bandsEnergy()-49,64" "fbodyaccjerkbandsenergy4964"
"408" 408 "fBodyAccJerk-bandsEnergy()-1,24" "fbodyaccjerkbandsenergy124"
"409" 409 "fBodyAccJerk-bandsEnergy()-25,48" "fbodyaccjerkbandsenergy2548"
"410" 410 "fBodyAccJerk-bandsEnergy()-1,8" "fbodyaccjerkbandsenergy18"
"411" 411 "fBodyAccJerk-bandsEnergy()-9,16" "fbodyaccjerkbandsenergy916"
"412" 412 "fBodyAccJerk-bandsEnergy()-17,24" "fbodyaccjerkbandsenergy1724"
"413" 413 "fBodyAccJerk-bandsEnergy()-25,32" "fbodyaccjerkbandsenergy2532"
"414" 414 "fBodyAccJerk-bandsEnergy()-33,40" "fbodyaccjerkbandsenergy3340"
"415" 415 "fBodyAccJerk-bandsEnergy()-41,48" "fbodyaccjerkbandsenergy4148"
"416" 416 "fBodyAccJerk-bandsEnergy()-49,56" "fbodyaccjerkbandsenergy4956"
"417" 417 "fBodyAccJerk-bandsEnergy()-57,64" "fbodyaccjerkbandsenergy5764"
"418" 418 "fBodyAccJerk-bandsEnergy()-1,16" "fbodyaccjerkbandsenergy116"
"419" 419 "fBodyAccJerk-bandsEnergy()-17,32" "fbodyaccjerkbandsenergy1732"
"420" 420 "fBodyAccJerk-bandsEnergy()-33,48" "fbodyaccjerkbandsenergy3348"
"421" 421 "fBodyAccJerk-bandsEnergy()-49,64" "fbodyaccjerkbandsenergy4964"
"422" 422 "fBodyAccJerk-bandsEnergy()-1,24" "fbodyaccjerkbandsenergy124"
"423" 423 "fBodyAccJerk-bandsEnergy()-25,48" "fbodyaccjerkbandsenergy2548"
"424" 424 "fBodyGyro-mean()-X" "fbodygyromeanx"
"425" 425 "fBodyGyro-mean()-Y" "fbodygyromeany"
"426" 426 "fBodyGyro-mean()-Z" "fbodygyromeanz"
"427" 427 "fBodyGyro-std()-X" "fbodygyrostdx"
"428" 428 "fBodyGyro-std()-Y" "fbodygyrostdy"
"429" 429 "fBodyGyro-std()-Z" "fbodygyrostdz"
"430" 430 "fBodyGyro-mad()-X" "fbodygyromadx"
"431" 431 "fBodyGyro-mad()-Y" "fbodygyromady"
"432" 432 "fBodyGyro-mad()-Z" "fbodygyromadz"
"433" 433 "fBodyGyro-max()-X" "fbodygyromaxx"
"434" 434 "fBodyGyro-max()-Y" "fbodygyromaxy"
"435" 435 "fBodyGyro-max()-Z" "fbodygyromaxz"
"436" 436 "fBodyGyro-min()-X" "fbodygyrominx"
"437" 437 "fBodyGyro-min()-Y" "fbodygyrominy"
"438" 438 "fBodyGyro-min()-Z" "fbodygyrominz"
"439" 439 "fBodyGyro-sma()" "fbodygyrosma"
"440" 440 "fBodyGyro-energy()-X" "fbodygyroenergyx"
"441" 441 "fBodyGyro-energy()-Y" "fbodygyroenergyy"
"442" 442 "fBodyGyro-energy()-Z" "fbodygyroenergyz"
"443" 443 "fBodyGyro-iqr()-X" "fbodygyroiqrx"
"444" 444 "fBodyGyro-iqr()-Y" "fbodygyroiqry"
"445" 445 "fBodyGyro-iqr()-Z" "fbodygyroiqrz"
"446" 446 "fBodyGyro-entropy()-X" "fbodygyroentropyx"
"447" 447 "fBodyGyro-entropy()-Y" "fbodygyroentropyy"
"448" 448 "fBodyGyro-entropy()-Z" "fbodygyroentropyz"
"449" 449 "fBodyGyro-maxInds-X" "fbodygyromaxindsx"
"450" 450 "fBodyGyro-maxInds-Y" "fbodygyromaxindsy"
"451" 451 "fBodyGyro-maxInds-Z" "fbodygyromaxindsz"
"452" 452 "fBodyGyro-meanFreq()-X" "fbodygyromeanfreqx"
"453" 453 "fBodyGyro-meanFreq()-Y" "fbodygyromeanfreqy"
"454" 454 "fBodyGyro-meanFreq()-Z" "fbodygyromeanfreqz"
"455" 455 "fBodyGyro-skewness()-X" "fbodygyroskewnessx"
"456" 456 "fBodyGyro-kurtosis()-X" "fbodygyrokurtosisx"
"457" 457 "fBodyGyro-skewness()-Y" "fbodygyroskewnessy"
"458" 458 "fBodyGyro-kurtosis()-Y" "fbodygyrokurtosisy"
"459" 459 "fBodyGyro-skewness()-Z" "fbodygyroskewnessz"
"460" 460 "fBodyGyro-kurtosis()-Z" "fbodygyrokurtosisz"
"461" 461 "fBodyGyro-bandsEnergy()-1,8" "fbodygyrobandsenergy18"
"462" 462 "fBodyGyro-bandsEnergy()-9,16" "fbodygyrobandsenergy916"
"463" 463 "fBodyGyro-bandsEnergy()-17,24" "fbodygyrobandsenergy1724"
"464" 464 "fBodyGyro-bandsEnergy()-25,32" "fbodygyrobandsenergy2532"
"465" 465 "fBodyGyro-bandsEnergy()-33,40" "fbodygyrobandsenergy3340"
"466" 466 "fBodyGyro-bandsEnergy()-41,48" "fbodygyrobandsenergy4148"
"467" 467 "fBodyGyro-bandsEnergy()-49,56" "fbodygyrobandsenergy4956"
"468" 468 "fBodyGyro-bandsEnergy()-57,64" "fbodygyrobandsenergy5764"
"469" 469 "fBodyGyro-bandsEnergy()-1,16" "fbodygyrobandsenergy116"
"470" 470 "fBodyGyro-bandsEnergy()-17,32" "fbodygyrobandsenergy1732"
"471" 471 "fBodyGyro-bandsEnergy()-33,48" "fbodygyrobandsenergy3348"
"472" 472 "fBodyGyro-bandsEnergy()-49,64" "fbodygyrobandsenergy4964"
"473" 473 "fBodyGyro-bandsEnergy()-1,24" "fbodygyrobandsenergy124"
"474" 474 "fBodyGyro-bandsEnergy()-25,48" "fbodygyrobandsenergy2548"
"475" 475 "fBodyGyro-bandsEnergy()-1,8" "fbodygyrobandsenergy18"
"476" 476 "fBodyGyro-bandsEnergy()-9,16" "fbodygyrobandsenergy916"
"477" 477 "fBodyGyro-bandsEnergy()-17,24" "fbodygyrobandsenergy1724"
"478" 478 "fBodyGyro-bandsEnergy()-25,32" "fbodygyrobandsenergy2532"
"479" 479 "fBodyGyro-bandsEnergy()-33,40" "fbodygyrobandsenergy3340"
"480" 480 "fBodyGyro-bandsEnergy()-41,48" "fbodygyrobandsenergy4148"
"481" 481 "fBodyGyro-bandsEnergy()-49,56" "fbodygyrobandsenergy4956"
"482" 482 "fBodyGyro-bandsEnergy()-57,64" "fbodygyrobandsenergy5764"
"483" 483 "fBodyGyro-bandsEnergy()-1,16" "fbodygyrobandsenergy116"
"484" 484 "fBodyGyro-bandsEnergy()-17,32" "fbodygyrobandsenergy1732"
"485" 485 "fBodyGyro-bandsEnergy()-33,48" "fbodygyrobandsenergy3348"
"486" 486 "fBodyGyro-bandsEnergy()-49,64" "fbodygyrobandsenergy4964"
"487" 487 "fBodyGyro-bandsEnergy()-1,24" "fbodygyrobandsenergy124"
"488" 488 "fBodyGyro-bandsEnergy()-25,48" "fbodygyrobandsenergy2548"
"489" 489 "fBodyGyro-bandsEnergy()-1,8" "fbodygyrobandsenergy18"
"490" 490 "fBodyGyro-bandsEnergy()-9,16" "fbodygyrobandsenergy916"
"491" 491 "fBodyGyro-bandsEnergy()-17,24" "fbodygyrobandsenergy1724"
"492" 492 "fBodyGyro-bandsEnergy()-25,32" "fbodygyrobandsenergy2532"
"493" 493 "fBodyGyro-bandsEnergy()-33,40" "fbodygyrobandsenergy3340"
"494" 494 "fBodyGyro-bandsEnergy()-41,48" "fbodygyrobandsenergy4148"
"495" 495 "fBodyGyro-bandsEnergy()-49,56" "fbodygyrobandsenergy4956"
"496" 496 "fBodyGyro-bandsEnergy()-57,64" "fbodygyrobandsenergy5764"
"497" 497 "fBodyGyro-bandsEnergy()-1,16" "fbodygyrobandsenergy116"
"498" 498 "fBodyGyro-bandsEnergy()-17,32" "fbodygyrobandsenergy1732"
"499" 499 "fBodyGyro-bandsEnergy()-33,48" "fbodygyrobandsenergy3348"
"500" 500 "fBodyGyro-bandsEnergy()-49,64" "fbodygyrobandsenergy4964"
"501" 501 "fBodyGyro-bandsEnergy()-1,24" "fbodygyrobandsenergy124"
"502" 502 "fBodyGyro-bandsEnergy()-25,48" "fbodygyrobandsenergy2548"
"503" 503 "fBodyAccMag-mean()" "fbodyaccmagmean"
"504" 504 "fBodyAccMag-std()" "fbodyaccmagstd"
"505" 505 "fBodyAccMag-mad()" "fbodyaccmagmad"
"506" 506 "fBodyAccMag-max()" "fbodyaccmagmax"
"507" 507 "fBodyAccMag-min()" "fbodyaccmagmin"
"508" 508 "fBodyAccMag-sma()" "fbodyaccmagsma"
"509" 509 "fBodyAccMag-energy()" "fbodyaccmagenergy"
"510" 510 "fBodyAccMag-iqr()" "fbodyaccmagiqr"
"511" 511 "fBodyAccMag-entropy()" "fbodyaccmagentropy"
"512" 512 "fBodyAccMag-maxInds" "fbodyaccmagmaxinds"
"513" 513 "fBodyAccMag-meanFreq()" "fbodyaccmagmeanfreq"
"514" 514 "fBodyAccMag-skewness()" "fbodyaccmagskewness"
"515" 515 "fBodyAccMag-kurtosis()" "fbodyaccmagkurtosis"
"516" 516 "fBodyBodyAccJerkMag-mean()" "fbodybodyaccjerkmagmean"
"517" 517 "fBodyBodyAccJerkMag-std()" "fbodybodyaccjerkmagstd"
"518" 518 "fBodyBodyAccJerkMag-mad()" "fbodybodyaccjerkmagmad"
"519" 519 "fBodyBodyAccJerkMag-max()" "fbodybodyaccjerkmagmax"
"520" 520 "fBodyBodyAccJerkMag-min()" "fbodybodyaccjerkmagmin"
"521" 521 "fBodyBodyAccJerkMag-sma()" "fbodybodyaccjerkmagsma"
"522" 522 "fBodyBodyAccJerkMag-energy()" "fbodybodyaccjerkmagenergy"
"523" 523 "fBodyBodyAccJerkMag-iqr()" "fbodybodyaccjerkmagiqr"
"524" 524 "fBodyBodyAccJerkMag-entropy()" "fbodybodyaccjerkmagentropy"
"525" 525 "fBodyBodyAccJerkMag-maxInds" "fbodybodyaccjerkmagmaxinds"
"526" 526 "fBodyBodyAccJerkMag-meanFreq()" "fbodybodyaccjerkmagmeanfreq"
"527" 527 "fBodyBodyAccJerkMag-skewness()" "fbodybodyaccjerkmagskewness"
"528" 528 "fBodyBodyAccJerkMag-kurtosis()" "fbodybodyaccjerkmagkurtosis"
"529" 529 "fBodyBodyGyroMag-mean()" "fbodybodygyromagmean"
"530" 530 "fBodyBodyGyroMag-std()" "fbodybodygyromagstd"
"531" 531 "fBodyBodyGyroMag-mad()" "fbodybodygyromagmad"
"532" 532 "fBodyBodyGyroMag-max()" "fbodybodygyromagmax"
"533" 533 "fBodyBodyGyroMag-min()" "fbodybodygyromagmin"
"534" 534 "fBodyBodyGyroMag-sma()" "fbodybodygyromagsma"
"535" 535 "fBodyBodyGyroMag-energy()" "fbodybodygyromagenergy"
"536" 536 "fBodyBodyGyroMag-iqr()" "fbodybodygyromagiqr"
"537" 537 "fBodyBodyGyroMag-entropy()" "fbodybodygyromagentropy"
"538" 538 "fBodyBodyGyroMag-maxInds" "fbodybodygyromagmaxinds"
"539" 539 "fBodyBodyGyroMag-meanFreq()" "fbodybodygyromagmeanfreq"
"540" 540 "fBodyBodyGyroMag-skewness()" "fbodybodygyromagskewness"
"541" 541 "fBodyBodyGyroMag-kurtosis()" "fbodybodygyromagkurtosis"
"542" 542 "fBodyBodyGyroJerkMag-mean()" "fbodybodygyrojerkmagmean"
"543" 543 "fBodyBodyGyroJerkMag-std()" "fbodybodygyrojerkmagstd"
"544" 544 "fBodyBodyGyroJerkMag-mad()" "fbodybodygyrojerkmagmad"
"545" 545 "fBodyBodyGyroJerkMag-max()" "fbodybodygyrojerkmagmax"
"546" 546 "fBodyBodyGyroJerkMag-min()" "fbodybodygyrojerkmagmin"
"547" 547 "fBodyBodyGyroJerkMag-sma()" "fbodybodygyrojerkmagsma"
"548" 548 "fBodyBodyGyroJerkMag-energy()" "fbodybodygyrojerkmagenergy"
"549" 549 "fBodyBodyGyroJerkMag-iqr()" "fbodybodygyrojerkmagiqr"
"550" 550 "fBodyBodyGyroJerkMag-entropy()" "fbodybodygyrojerkmagentropy"
"551" 551 "fBodyBodyGyroJerkMag-maxInds" "fbodybodygyrojerkmagmaxinds"
"552" 552 "fBodyBodyGyroJerkMag-meanFreq()" "fbodybodygyrojerkmagmeanfreq"
"553" 553 "fBodyBodyGyroJerkMag-skewness()" "fbodybodygyrojerkmagskewness"
"554" 554 "fBodyBodyGyroJerkMag-kurtosis()" "fbodybodygyrojerkmagkurtosis"
"555" 555 "angle(tBodyAccMean,gravity)" "angletbodyaccmeangravity"
"556" 556 "angle(tBodyAccJerkMean),gravityMean)" "angletbodyaccjerkmeangravitymean"
"557" 557 "angle(tBodyGyroMean,gravityMean)" "angletbodygyromeangravitymean"
"558" 558 "angle(tBodyGyroJerkMean,gravityMean)" "angletbodygyrojerkmeangravitymean"
"559" 559 "angle(X,gravityMean)" "anglexgravitymean"
"560" 560 "angle(Y,gravityMean)" "angleygravitymean"
"561" 561 "angle(Z,gravityMean)" "anglezgravitymean"
